Rank,Game,Month,Year,Hours_watched,Hours_streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,Date
4,Call of Duty: Warzone,June,2021,84562816,3061219,482855,8231,179068,117611,4257,27.62000084,June 2021
5,VALORANT,June,2021,80581440,3217503,252386,7691,277299,112074,4474,25.04000092,June 2021
6,Minecraft,June,2021,72365696,2841782,499342,7623,362028,100647,3952,25.45999908,June 2021
7,Fortnite,June,2021,70802599,5069896,343301,15889,492980,98473,7051,13.97000027,June 2021
8,Dota 2,June,2021,62316260,653133,375582,1544,31893,86670,908,95.41000366,June 2021
9,Counter-Strike: Global Offensive,June,2021,55332904,1162096,363798,2995,116511,76958,1616,47.61000061,June 2021
10,World of Warcraft,June,2021,52816476,1323880,428127,8423,64312,73458,1841,39.90000153,June 2021
1,Just Chatting,July,2021,240051080,3204980,772137,6307,425721,323083,4313,74.90000153,July 2021
2,Grand Theft Auto V,July,2021,142539300,2344127,476100,6212,196492,191842,3154,60.81000137,July 2021
3,League of Legends,July,2021,134363514,2961094,511589,6029,215610,180839,3985,45.38000107,July 2021
4,VALORANT,July,2021,80880189,3289089,296686,6844,287260,108856,4426,24.59000015,July 2021
5,Call of Duty: Warzone,July,2021,71791742,2986579,348510,7945,180991,96624,4019,24.04000092,July 2021
6,Fortnite,July,2021,69328083,5002281,341415,11334,488332,93308,6732,13.85999966,July 2021
7,Counter-Strike: Global Offensive,July,2021,58658860,1107453,696447,2513,112617,78948,1490,52.97000122,July 2021
8,Minecraft,July,2021,53624353,2819049,903466,6282,353450,72172,3794,19.02000046,July 2021
9,World of Warcraft,July,2021,47511323,1222339,315079,5799,60203,63945,1645,38.86999893,July 2021
10,Apex Legends,July,2021,47318823,3370855,216112,7107,263707,63686,4536,14.03999996,July 2021
1,Just Chatting,August,2021,249610555,3255305,736910,6517,428053,335949,4381,76.68000031,August 2021
2,Grand Theft Auto V,August,2021,144558823,2270925,500974,5598,179725,194561,3056,63.65999985,August 2021
3,League of Legends,August,2021,138132735,2964379,931796,5614,215239,185912,3989,46.59999847,August 2021
4,Apex Legends,August,2021,92864047,4709072,404843,13378,349077,124985,6337,19.71999931,August 2021
5,Fortnite,August,2021,77871428,4764584,719861,52969,473438,104806,6412,16.34000015,August 2021
6,VALORANT,August,2021,77525514,3085069,294465,6435,272547,104341,4152,25.12999916,August 2021
7,Minecraft,August,2021,75945145,2659710,897758,6024,333391,102214,3579,28.54999924,August 2021
8,Call of Duty: Warzone,August,2021,60714613,2597525,748730,13772,160938,81715,3495,23.37000084,August 2021
9,Counter-Strike: Global Offensive,August,2021,49822431,1099409,378388,2538,114949,67055,1479,45.31999969,August 2021
10,Dota 2,August,2021,42716591,731191,218368,1701,35607,57492,984,58.41999817,August 2021
1,Just Chatting,September,2021,222594651,2982598,773047,8506,394043,309589,4148,74.62999725,September 2021
2,Grand Theft Auto V,September,2021,144525900,1891853,591485,5085,139075,201009,2631,76.38999939,September 2021
3,League of Legends,September,2021,107406590,2723708,618086,5548,201351,149383,3788,39.43000031,September 2021
4,VALORANT,September,2021,92393642,2972494,732010,7148,257779,128502,4134,31.07999992,September 2021
5,Minecraft,September,2021,76513540,2120032,795663,5693,275316,106416,2948,36.09000015,September 2021
6,Apex Legends,September,2021,68691621,3511300,330106,9081,273660,95537,4883,19.55999947,September 2021
7,Counter-Strike: Global Offensive,September,2021,61533744,1007538,725327,2823,105073,85582,1401,61.06999969,September 2021
8,Fortnite,September,2021,60226831,4160495,1186225,82928,415949,83764,5786,14.47999954,September 2021
9,Call of Duty: Warzone,September,2021,53919349,2329905,341961,6172,143456,74992,3240,23.13999939,September 2021
10,New World,September,2021,40472173,800240,981589,16321,71631,56289,1112,50.58000183,September 2021
1,Just Chatting,October,2021,217994303,2945069,715797,6420,376011,293397,3963,74.01999664,October 2021
2,League of Legends,October,2021,208574800,2489811,2364918,5375,185819,280719,3351,83.76999664,October 2021
3,Grand Theft Auto V,October,2021,136934555,1813736,466495,4935,126104,184299,2441,75.5,October 2021
4,Dota 2,October,2021,98815597,701658,1636441,1895,34983,132995,944,140.8300018,October 2021
5,New World,October,2021,87344597,2688555,460974,9893,132349,117556,3618,32.49000168,October 2021
6,Counter-Strike: Global Offensive,October,2021,70180423,956368,655467,2555,97136,94455,1287,73.37999725,October 2021
7,Minecraft,October,2021,67619774,1968173,757774,4799,247477,91009,2648,34.36000061,October 2021
8,VALORANT,October,2021,64164553,2715437,261799,5597,230732,86358,3654,23.62999916,October 2021
9,Apex Legends,October,2021,59167820,3259366,276142,6699,231430,79633,4386,18.14999962,October 2021
10,Fortnite,October,2021,58780907,3799080,287301,9757,359321,79112,5113,15.47000027,October 2021
1,Just Chatting,November,2021,231514981,2828547,878286,6493,368108,321995,3934,81.84999847,November 2021
2,Grand Theft Auto V,November,2021,129608680,1752977,442304,5022,123262,180262,2438,73.94000244,November 2021
3,League of Legends,November,2021,102612188,2420283,3082772,5280,192692,142715,3366,42.40000153,November 2021
4,Counter-Strike: Global Offensive,November,2021,79981393,951598,1916027,2590,97574,111239,1323,84.05000305,November 2021
5,Apex Legends,November,2021,58698013,3486336,283675,11894,247467,81638,4848,16.84000015,November 2021
6,VALORANT,November,2021,58685942,2645463,195672,5733,226858,81621,3679,22.18000031,November 2021
7,Minecraft,November,2021,55949329,1768233,604094,4921,227396,77815,2459,31.63999939,November 2021
8,Fortnite,November,2021,50178082,3235937,363096,7961,329946,69788,4500,15.51000023,November 2021
9,Teamfight Tactics,November,2021,37320063,437788,112329,1107,44746,51905,608,85.25,November 2021
10,Dota 2,November,2021,37073193,747851,223679,1934,36951,51562,1040,49.56999969,November 2021
1,Just Chatting,December,2021,271538951,3116407,1006556,8092,396024,365462,4194,87.12999725,December 2021
2,Grand Theft Auto V,December,2021,117017755,1944400,415255,5737,148924,157493,2616,60.18000031,December 2021
3,VALORANT,December,2021,98306478,2812461,1047665,6019,249067,132310,3785,34.95000076,December 2021
4,League of Legends,December,2021,95180552,2465988,591381,5291,194521,128103,3318,38.59999847,December 2021
5,Escape from Tarkov,December,2021,77060574,1118138,475913,5568,48796,103715,1504,68.91999817,December 2021
6,Fortnite,December,2021,67039763,4833376,1270408,88824,499414,90228,6505,13.86999989,December 2021
7,Minecraft,December,2021,54665157,2159925,649098,6059,273288,73573,2907,25.30999947,December 2021
8,Call of Duty: Warzone,December,2021,52562076,2234477,456502,9068,133039,70743,3007,23.52000046,December 2021
9,Apex Legends,December,2021,46483936,3100762,238755,7141,218911,62562,4173,14.98999977,December 2021
10,Counter-Strike: Global Offensive,December,2021,45401155,914766,524450,2485,94162,61105,1231,49.63000107,December 2021
1,Just Chatting,January,2022,283669656,3292459,1084947,7655,701244,381789,4431,86.16000366,January 2022
2,League of Legends,January,2022,184282005,3368623,669460,8924,321715,248024,4533,54.70999908,January 2022
3,Grand Theft Auto V,January,2022,152328213,2219509,585776,5606,305652,205017,2987,68.62999725,January 2022
4,Escape from Tarkov,January,2022,93334264,1343113,690725,3186,71932,125618,1807,69.48999786,January 2022
5,VALORANT,January,2022,84354184,3736976,288190,8721,430961,113531,5029,22.56999969,January 2022
6,Fortnite,January,2022,70296392,4783165,403757,11096,1013324,94611,6437,14.69999981,January 2022
7,Apex Legends,January,2022,63726123,3677939,309948,7967,431950,85768,4950,17.32999992,January 2022
8,Rust,January,2022,63615081,387133,917741,1180,48196,85619,521,164.3200073,January 2022
9,Minecraft,January,2022,60307178,2161237,2189881,5310,482723,81167,2908,27.89999962,January 2022
10,FIFA 22,January,2022,45366797,932324,785790,5823,189784,61058,1254,48.65999985,January 2022
1,Just Chatting,February,2022,260069202,2989857,887922,9879,645467,387584,4455,86.98000336,February 2022
2,Lost Ark,February,2022,145982931,2273261,1273854,12784,196480,217560,3387,64.22000122,February 2022
3,League of Legends,February,2022,134681108,2540382,642461,6195,269108,200717,3785,53.02000046,February 2022
4,Grand Theft Auto V,February,2022,129313597,1919879,489292,5363,258590,192717,2861,67.36000061,February 2022
5,VALORANT,February,2022,89088184,3303775,353603,7202,401078,132769,4923,26.96999931,February 2022
6,Counter-Strike: Global Offensive,February,2022,67421442,886058,995138,2618,150560,100479,1320,76.08999634,February 2022
7,Apex Legends,February,2022,65361056,4122840,266182,13296,501098,97408,6144,15.85000038,February 2022
8,Fortnite,February,2022,61225567,3690722,380708,10627,801253,91245,5500,16.59000015,February 2022
9,Elden Ring,February,2022,59174143,1398601,908307,22969,195401,88187,2084,42.31000137,February 2022
10,Call of Duty: Warzone,February,2022,38238896,1974281,167142,5395,172484,56987,2942,19.37000084,February 2022
1,Just Chatting,March,2022,259546897,3076949,942556,6259,601893,349322,4141,84.34999847,March 2022
2,League of Legends,March,2022,138562317,2475818,684463,5036,242170,186490,3332,55.97000122,March 2022
3,Elden Ring,March,2022,131599152,5531512,519859,14659,434645,177118,7444,23.79000092,March 2022
4,Grand Theft Auto V,March,2022,127932833,2025468,465143,5414,260867,172184,2726,63.15999985,March 2022
5,VALORANT,March,2022,110480891,3649216,376658,7434,404788,148695,4911,30.28000069,March 2022
6,Fortnite,March,2022,72816507,3833018,685560,14479,792664,98003,5158,19,March 2022
7,Apex Legends,March,2022,68136245,4037521,242146,8925,489397,91704,5434,16.87999916,March 2022
8,Counter-Strike: Global Offensive,March,2022,55974322,864927,360389,2341,133185,75335,1164,64.72000122,March 2022
9,World of Warcraft,March,2022,55904658,955532,284679,4420,52850,75241,1286,58.50999832,March 2022
10,Lost Ark,March,2022,40981246,1068250,206110,2943,80352,55156,1437,38.36000061,March 2022
1,Just Chatting,April,2022,282771829,2969054,2309980,6118,581351,393284,4129,95.23999786,April 2022
2,League of Legends,April,2022,129717062,2521545,1051564,5044,239721,180413,3507,51.43999863,April 2022
3,Grand Theft Auto V,April,2022,129072844,2047790,586901,5353,251245,179517,2848,63.02999878,April 2022
4,VALORANT,April,2022,113078506,3705997,984205,8081,415290,157271,5154,30.51000023,April 2022
5,Fortnite,April,2022,71463618,3880171,639272,10321,767403,99393,5396,18.42000008,April 2022
6,Apex Legends,April,2022,66510103,3869740,295783,8894,446945,92503,5382,17.19000053,April 2022
7,Counter-Strike: Global Offensive,April,2022,59002939,802622,441386,2200,122078,82062,1116,73.51000214,April 2022
8,Elden Ring,April,2022,39389487,2138920,294642,6051,235559,54783,2974,18.42000008,April 2022
9,Dota 2,April,2022,37597240,554415,155770,1414,41780,52291,771,67.80999756,April 2022
10,Call of Duty: Warzone,April,2022,34765388,2203906,122583,5847,205758,48352,3065,15.77000046,April 2022
1,Just Chatting,May,2022,274748231,2946900,1344603,5706,559671,369782,3966,93.23000336,May 2022
2,League of Legends,May,2022,159489005,2534691,1385974,5157,237227,214655,3411,62.91999817,May 2022
3,Grand Theft Auto V,May,2022,122147595,1942357,514531,4901,223537,164397,2614,62.88999939,May 2022
4,VALORANT,May,2022,100270805,3769245,330830,7251,414170,134953,5073,26.60000038,May 2022
5,Counter-Strike: Global Offensive,May,2022,93930915,845157,1687805,2202,121653,126421,1137,111.1399994,May 2022
6,Apex Legends,May,2022,81210308,3844658,559133,11258,434139,109300,5174,21.12000084,May 2022
7,Fortnite,May,2022,54986586,3236016,291756,7328,624828,74006,4355,16.98999977,May 2022
8,Dota 2,May,2022,48939002,586231,449377,1361,44246,65866,789,83.48000336,May 2022
9,Slots,May,2022,38548025,105123,262776,241,6856,51881,141,366.6900024,May 2022
10,Call of Duty: Warzone,May,2022,35639560,2146658,193443,5896,203005,47967,2889,16.60000038,May 2022
1,Just Chatting,June,2022,261199101,2893791,1320834,6357,570609,363281,4024,90.26000214,June 2022
2,League of Legends,June,2022,118681394,2233256,487688,4476,222695,165064,3106,53.13999939,June 2022
3,Grand Theft Auto V,June,2022,105421962,1882418,434806,4896,230655,146623,2618,56,June 2022
4,VALORANT,June,2022,101762186,3678688,384579,8172,413509,141532,5116,27.65999985,June 2022
5,Counter-Strike: Global Offensive,June,2022,56442633,840093,534107,2173,125497,78501,1168,67.19000244,June 2022
6,Fortnite,June,2022,51892737,3845917,945769,48299,754617,72173,5348,13.48999977,June 2022
7,Apex Legends,June,2022,50179517,3083737,206916,6629,373814,69790,4288,16.27000046,June 2022
8,Slots,June,2022,42450509,106339,207956,249,7538,59041,147,399.2000122,June 2022
9,Dota 2,June,2022,40045116,590825,167501,1430,45672,55695,821,67.77999878,June 2022
10,Minecraft,June,2022,39983135,1565791,1124877,3623,353250,55609,2177,25.54000092,June 2022
1,Just Chatting,July,2022,268955703,3010849,829384,5794,612287,361986,4052,89.33000183,July 2022
2,League of Legends,July,2022,121287274,2287292,546382,4541,229473,163239,3078,53.02999878,July 2022
3,VALORANT,July,2022,120711351,4141409,691026,7631,450134,162464,5573,29.14999962,July 2022
4,Grand Theft Auto V,July,2022,120058715,2138080,496874,5789,279154,161586,2877,56.15000153,July 2022
5,Apex Legends,July,2022,55445378,3308761,518766,6631,381526,74623,4453,16.76000023,July 2022
6,Minecraft,July,2022,53738426,2106598,775386,4520,454728,72326,2835,25.51000023,July 2022
7,Counter-Strike: Global Offensive,July,2022,51096287,848961,1153750,2055,130195,68770,1142,60.18999863,July 2022
8,Fortnite,July,2022,47525559,3609437,238361,7189,704231,63964,4857,13.17000008,July 2022
9,Dota 2,July,2022,45268112,618363,337927,1428,47049,60926,832,73.20999908,July 2022
10,Slots,July,2022,45004648,111287,284606,249,8558,60571,149,404.3999939,July 2022
1,Just Chatting,August,2022,261887415,2982548,1068622,10463,592053,352472,4014,87.80999756,August 2022
2,League of Legends,August,2022,133284504,2224676,854400,7219,222853,179386,2994,59.90999985,August 2022
3,Grand Theft Auto V,August,2022,130505568,2301954,727079,6992,290234,175646,3098,56.68999863,August 2022
4,VALORANT,August,2022,111366969,4224034,721411,13550,451029,149888,5685,26.37000084,August 2022
5,Minecraft,August,2022,92029077,2156558,813879,6347,440525,123861,2902,42.66999817,August 2022
6,Apex Legends,August,2022,57061119,3823308,245792,11461,429428,76798,5145,14.92000008,August 2022
7,Dota 2,August,2022,56810142,651161,666026,1514,49178,76460,876,87.23999786,August 2022
8,Slots,August,2022,50783493,116912,202211,429,8969,68349,157,434.3699951,August 2022
9,Fortnite,August,2022,45169240,3773479,230914,11312,719684,60793,5078,11.97000027,August 2022
10,Counter-Strike: Global Offensive,August,2022,42556325,876860,313850,2220,133460,57276,1180,48.52999878,August 2022
1,Just Chatting,September,2022,249025325,2874872,859041,6280,529973,346349,3998,86.62000275,September 2022
2,VALORANT,September,2022,127153372,3949200,1197406,7885,424130,176847,5492,32.20000076,September 2022
3,League of Legends,September,2022,114539360,2152783,1026764,4447,214447,159303,2994,53.20999908,September 2022
4,Grand Theft Auto V,September,2022,104592542,1963917,411106,5050,222758,145469,2731,53.25999832,September 2022
5,Minecraft,September,2022,62701361,1564840,609250,4085,325977,87206,2176,40.06999969,September 2022
6,Counter-Strike: Global Offensive,September,2022,58486237,797252,454739,2128,119721,81343,1108,73.36000061,September 2022
7,Dota 2,September,2022,47549018,680665,290187,1838,48411,66132,946,69.86000061,September 2022
8,Apex Legends,September,2022,47392052,3142921,176456,6887,367815,65913,4371,15.07999992,September 2022
9,World of Warcraft,September,2022,45288384,1052474,388768,7095,64551,62988,1463,43.02999878,September 2022
10,Fortnite,September,2022,40234527,3455199,363863,11944,653659,55959,4805,11.64000034,September 2022
1,Just Chatting,October,2022,242960233,2945016,741825,6112,521547,326998,3963,82.5,October 2022
2,League of Legends,October,2022,159646745,2036314,1594928,4506,204092,214867,2740,78.40000153,October 2022
3,Overwatch 2,October,2022,139453660,4110313,633993,12678,577877,187689,5532,33.93000031,October 2022
4,Grand Theft Auto V,October,2022,96510973,1893089,365285,4770,214323,129893,2547,50.97999954,October 2022
5,Dota 2,October,2022,83032166,656224,1037857,1845,50170,111752,883,126.5299988,October 2022
6,VALORANT,October,2022,70045411,3399059,283710,7662,377910,94273,4574,20.61000061,October 2022
7,FIFA 23,October,2022,61232435,1098251,368397,4143,168933,82412,1478,55.75,October 2022
8,Counter-Strike: Global Offensive,October,2022,56602588,762067,681874,1993,110356,76181,1025,74.27999878,October 2022
9,Minecraft,October,2022,43572213,1363609,603830,3537,284660,58643,1835,31.95000076,October 2022
10,World of Warcraft,October,2022,33151997,913813,146514,3166,61314,44619,1229,36.27999878,October 2022
1,Just Chatting,November,2022,239755926,2671266,809381,6480,469749,333457,3715,89.75,November 2022
2,Grand Theft Auto V,November,2022,99456990,1697560,550680,4642,196976,138326,2361,58.59000015,November 2022
3,League of Legends,November,2022,92645258,1851622,3145012,4184,195040,128852,2575,50.02999878,November 2022
4,Counter-Strike: Global Offensive,November,2022,86942107,666047,1313814,1983,106614,120920,926,130.5299988,November 2022
5,VALORANT,November,2022,67635264,2812647,285380,6277,322363,94068,3911,24.04999924,November 2022
6,Call of Duty: Warzone,November,2022,49288753,1864906,618010,12842,258226,68551,2593,26.43000031,November 2022
7,Overwatch 2,November,2022,47612487,2062043,227679,5768,333466,66220,2867,23.09000015,November 2022
8,Minecraft,November,2022,44286836,1274540,358027,3663,264195,61595,1772,34.75,November 2022
9,World of Warcraft,November,2022,43377335,904646,800359,12297,65545,60330,1258,47.95000076,November 2022
10,Call of Duty: Modern Warfare II,November,2022,43125613,4935168,224500,18815,599654,59979,6863,8.739999771,November 2022
1,Just Chatting,December,2022,254521690,2801321,992439,7645,468778,342559,3770,90.86000061,December 2022
2,Grand Theft Auto V,December,2022,96945210,1835903,426230,6649,231641,130478,2470,52.81000137,December 2022
3,World of Warcraft,December,2022,75048722,1194229,308544,4857,73006,101007,1607,62.84000015,December 2022
4,League of Legends,December,2022,69883580,1725112,232769,5404,189348,94055,2321,40.50999832,December 2022
5,VALORANT,December,2022,63821561,2771997,239228,8050,324189,85897,3730,23.02000046,December 2022
6,Call of Duty: Warzone,December,2022,51311101,1745461,174886,5334,190975,69059,2349,29.39999962,December 2022
7,Fortnite,December,2022,47147947,4059928,1024567,60854,827595,63456,5464,11.60999966,December 2022
8,Overwatch 2,December,2022,43060315,1594283,219889,4896,255319,57954,2145,27.01000023,December 2022
9,Escape from Tarkov,December,2022,39940311,517048,533551,5312,40598,53755,695,77.25,December 2022
10,Minecraft,December,2022,33978183,1308601,323874,4347,288342,45731,1761,25.96999931,December 2022
1,Just Chatting,January,2023,264212906,2948218,939942,6063,505166,355602,3967,89.62000275,January 2023
2,League of Legends,January,2023,126494155,2363972,640837,6356,231482,170247,3181,53.50999832,January 2023
3,Escape from Tarkov,January,2023,113747925,1285153,563955,3070,67164,153092,1729,88.51000214,January 2023
4,Grand Theft Auto V,January,2023,111789032,2132991,528554,5377,256128,150456,2870,52.40999985,January 2023
5,VALORANT,January,2023,80943179,3753614,533382,8784,400204,108941,5051,21.55999947,January 2023
6,Minecraft,January,2023,72872812,1741344,684097,4833,371151,98079,2343,41.84999847,January 2023
7,Dota 2,January,2023,43317513,628986,238148,1544,51212,58300,846,68.87000275,January 2023
8,Fortnite,January,2023,42715772,4040480,268831,10921,810984,57490,5438,10.56999969,January 2023
9,Call of Duty: Warzone,January,2023,39731854,1577350,178914,3823,152960,53474,2122,25.19000053,January 2023
10,Counter-Strike: Global Offensive,January,2023,39153067,836436,325890,2315,126395,52695,1125,46.81000137,January 2023
1,Just Chatting,February,2023,264071479,2654550,1096326,8310,471645,393549,3956,99.48000336,February 2023
2,League of Legends,February,2023,112897378,2009279,621379,5544,206265,168252,2994,56.18999863,February 2023
3,Grand Theft Auto V,February,2023,90820904,1820356,467866,5303,219688,135351,2712,49.88999939,February 2023
4,VALORANT,February,2023,90542265,3198413,726751,9350,362540,134936,4766,28.30999947,February 2023
5,Hogwarts Legacy,February,2023,75887135,3567556,1249796,29306,376515,113095,5316,21.27000046,February 2023
6,Counter-Strike: Global Offensive,February,2023,54680222,810501,586084,2348,119258,81490,1207,67.45999908,February 2023
7,Apex Legends,February,2023,43003268,2820924,423131,8036,343344,64088,4204,15.23999977,February 2023
8,Minecraft,February,2023,40445071,1558034,1702513,4820,341356,60275,2321,25.95999908,February 2023
9,Fortnite,February,2023,37811579,3481638,234461,10117,702379,56351,5188,10.85999966,February 2023
10,Dota 2,February,2023,37686338,561063,322405,1998,47509,56164,836,67.16999817,February 2023
1,Just Chatting,March,2023,274027644,2925605,1183419,6220,495201,368812,3937,93.66999817,March 2023
2,League of Legends,March,2023,123088070,2204299,565937,4736,214209,165663,2966,55.84000015,March 2023
3,Grand Theft Auto V,March,2023,111560661,2011349,510842,5299,229429,150148,2707,55.47000122,March 2023
4,VALORANT,March,2023,96913750,3845475,1196352,7612,405553,130435,5175,25.20000076,March 2023
5,Counter-Strike: Global Offensive,March,2023,65844705,1005456,889692,3035,156919,88620,1353,65.48999786,March 2023
6,Minecraft,March,2023,55692185,1553855,1621931,4140,337046,74955,2091,35.84000015,March 2023
7,Dota 2,March,2023,49367928,646613,400531,1711,52513,66444,870,76.34999847,March 2023
8,Fortnite,March,2023,42256437,4254764,461687,14426,812797,56872,5726,9.930000305,March 2023
9,Apex Legends,March,2023,41478301,2877848,165587,5545,336338,55825,3873,14.40999985,March 2023
10,Diablo IV,March,2023,28940607,499584,954905,9582,84050,38951,672,57.93000031,March 2023
